"","date","h.1","h.2","h.3","h.4","h.5","h.6","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19","h.20","h.21","h.22","h.23","h.24","h.25","h.26","h.27","h.28","h.29","h.30","h.31","h.32","h.33","h.34","h.35","h.36","h.37","h.38","h.39","h.40","h.41","h.42"
"371",2021-05-12,3.30232440334042,0.927242833892445,-1.58886414540589,0.565021265626994,-3.8010416233099,7.64427289259971,12.049022006136,-2.54296883956618,6.25546307754941,25.0844224144422,23.739585175219,6.30437788273292,-11.3964855279919,1.75942255564679,4.94013505017712,-7.82148220579321,13.5525769801654,12.8720739647132,-4.58007888506432,16.6681782605921,36.8416239242767,2.24559329463491,-15.879219860572,11.0025654980114,18.7535127114642,7.26805488461966,33.4883034065563,13.1211991709653,5.74940286981665,-8.10532046431802,14.5672017827645,5.46550053234618,15.3377832025472,21.3460431119241,10.0228620285868,10.6828245737341,1.30761243596234,10.3469810035068,15.8491185794397,25.3003784218216,4.24107692383441,18.5105530705477
"372",2021-05-13,1.26133457335504,-1.75597919831115,1.26143832968166,-6.1553955401906,5.96845802133721,11.8635191470711,-5.45498475225276,6.42680352333117,25.2332484657957,23.306626268159,2.90000626781258,-13.806728451777,2.64951804654197,1.94789067244002,-5.48773154705877,14.1317869955797,14.2593488616589,-10.2732795046962,13.6050910483408,36.9622434262682,-0.476682798388897,-15.2306733541867,12.0884475237787,18.715138092507,-0.872571470154706,30.0094024462079,11.5173370972952,1.98247939227412,-6.12250170705151,14.5846913965213,6.37129541555107,7.33243415588713,18.2113212868553,8.92211317840023,7.4925668573021,2.11741738391699,11.5800772269219,16.7374859526219,18.9887840067159,-1.05063713398033,15.9075767835627,13.4292292761722
"373",2021-05-14,-0.721015530468812,2.0061380332517,-4.71019726613667,6.46355443641905,14.2559704002691,-4.94921239080091,4.97116465668552,25.8027708231367,23.1588876495168,3.98320410578593,-13.3703511364998,2.35746662317651,2.06074897703889,-9.55964250139361,14.5055385720525,14.5032052386617,-10.6591246318739,12.7214132395473,37.6315940284822,-1.85029599422624,-17.9859356349571,13.1622203252639,20.0304286705696,-1.50188352346624,29.0583985809876,12.367202971042,1.01147567480201,-10.5967852067839,15.7404899735175,7.96766948842501,2.94612458903354,14.3857304858415,9.53941376554339,5.61394377654878,-1.28198879287412,12.8019411989563,18.3945978396391,13.9775680134319,-5.55190377011969,15.9700908908833,10.1490171366043,1.55846332853452
"374",2021-05-15,1.57243201443483,-5.87305016979528,6.6677489894639,14.6285661865884,-4.95111549308692,4.73823871188653,26.5603234064983,23.9737622417538,3.16952958223186,-13.2314345064515,3.64233092262875,1.98972282599756,-9.9241914701125,15.3241989750036,15.0701035390191,-13.2749855009151,12.025324236897,37.8216961804063,-1.08238985634945,-18.4594340322099,13.4942110541103,20.5461054358682,-4.25170004830737,27.8907909802702,11.899295962569,0.96334608408311,-11.1225939801059,15.825986911519,8.99312653712161,-0.16962569821385,13.7444964334539,8.81783830260625,5.83220803100439,-1.49581234500099,12.8759964987507,19.7546880503637,11.6396923167029,-7.06797737041907,15.8876882433167,10.1837088275332,1.04259109524654,9.01960414128226
"375",2021-05-16,-4.91119922565839,6.37837857737135,13.41460518403,-4.74881342718914,4.80723862830583,26.570597516095,20.6596088931669,4.84360517205146,-13.1162398966697,2.8133915951516,2.68508068178812,-9.50184141025523,15.1102170396462,14.3922510466249,-11.2770869267212,12.8045609827376,37.0224122945261,-0.315299160058272,-18.6497147517529,13.0389272424395,15.0351579128916,-0.49167665328924,29.7257737059123,11.5348979055438,2.48806637573407,-10.4096923616366,15.1966027475326,7.3105392599716,7.66403779613142,17.8745461026523,9.73674590930776,7.77884786800461,-0.862880042563053,12.5814926844942,13.2389200431625,19.1082065148424,-1.70997109755438,17.2034601482103,12.9069699278973,1.66016690660723,8.48730501511083,1.594463595496
"376",2021-05-17,8.3045744704349,15.907470262667,-3.30563134845115,6.89422726941837,26.4457434066865,21.5745136646312,9.64771206406441,-9.5572843846123,5.77466848125612,4.54039525171532,-9.54459746375818,14.7676207812774,13.9613565527613,-2.54380481093445,17.3734292019792,38.7117539184504,2.90233740242375,-15.2891858151367,12.0896216120646,17.120918034223,5.14264612983537,32.8116416596621,14.6569999458279,5.82711060826464,-10.6881263033569,15.0144889941439,5.95437053982742,11.2929748018486,20.4700848841901,11.5285617023503,10.3632609109928,1.30761243596234,11.3497502866925,12.7814926841814,20.5786632566403,0.742609032465585,18.4496539533878,14.9079908943471,1.51252949954313,7.62207386516289,0.192279372760403,19.5074915008039
"377",2021-05-18,11.8861827151434,-5.61529819090638,3.75788826607783,26.495711914712,20.1467215653846,8.98870687652778,-14.6998495319512,3.36821919040818,1.63239273123642,-9.82379120326793,14.7874703922441,14.4338437913119,-3.17159635552007,13.2596683227018,38.105586836299,-1.33208471146652,-18.4878135776963,13.4088203037159,15.0351579128916,4.391588244584,29.516371756094,13.5533525544179,1.76808900382521,-10.6591617915736,15.8638088312973,7.092598372051,10.0315168634119,17.0009479452699,11.5022989384061,6.42352110684669,-0.676701020311845,13.3582769643283,13.108207209776,20.1203400915631,-3.9039719936779,18.7990577104653,11.284626557503,1.32273404066499,9.23692125377046,1.4907734508893,15.4874700226162,5.53398738403568
"378",2021-05-19,-7.40287872881939,3.65053019824805,25.7016278566319,19.6607695304139,3.98216991671183,-18.1150215049468,-1.75044146261909,1.13475192522674,-12.3680170341872,13.8801023635866,14.1968454441315,-8.42303308302012,12.7675571634436,35.9725803986743,-1.97521352762244,-19.6525722438527,12.6878886577546,15.0351579128916,3.14877629036452,29.8308924753956,11.2846877376302,0.890307634286937,-10.6736440474653,15.5124574436199,7.13358828211211,9.82875819285055,17.3167469025301,8.79279402076376,5.71406836237262,-2.68852313650784,12.9465477793105,13.1404625990305,20.261413664184,-4.18509997685836,15.4868241599985,10.0408777380464,1.66668310095252,8.56611950117561,1.60898391047759,15.2901590034231,5.10027634685555,7.95760290129166
"379",2021-05-20,4.16592657300236,24.8077538496292,20.4400173453004,2.94749416540388,-15.2800969387076,-1.24700536503615,4.11920205815269,-9.79510541274091,12.6134720221162,13.8376523987481,-7.3738203017316,13.259510445114,35.6888019714032,0.658094567609322,-18.7511096327141,12.1367578035433,15.0351579128916,4.05387202259299,30.9633681026666,11.1897510287694,4.30443043657847,-10.0611585804713,14.4932010596589,6.60497523432938,10.5580524590787,18.1143135818621,8.48226179191218,9.08943745812134,0.375387229368514,11.4911402327888,12.2927138136745,20.2614331872358,-2.30148648182888,16.0380110823931,13.5184555562069,2.19509880292662,7.39072786129115,0.569253351785896,15.7396525003052,7.83924035916148,8.3643033055189,17.5329426656041
"380",2021-05-21,25.2900163773954,21.1500157986704,3.9922463471557,-16.6558254215547,-3.24025126815058,2.19064948106316,-12.7185246785528,13.065928190393,14.4338437913119,-10.355702513091,11.2128021928189,35.6395885268919,-1.20547356862329,-23.4465108605406,12.5329262700182,20.2797028584882,2.07512727137601,29.9846201957761,11.2602851863221,1.51415153637555,-10.8329488622732,15.5808433454792,7.2515556006851,9.19473765712779,16.9276584576696,8.51050372876176,8.64211697543324,-3.1852708388754,12.4215819885101,15.9361098220759,20.0511943226965,-3.54418085939232,15.3197585144634,13.2126736619966,1.19305382995553,7.76963863260425,1.18688136253441,15.1200595512755,5.57118390927952,7.89149252335477,16.4688153391777,-15.7947441459405
"381",2021-05-22,18.7599904986397,-0.0985521352962676,-17.4979360577371,-2.70600276687399,3.08201498125734,-13.2201376259973,1.40865573645593,3.26658643805648,-7.94374104006768,13.6778675776539,36.0514054843978,-0.104334090476398,-22.2665463019925,-4.51222847481789,0.692381151836296,3.75922794891803,33.4581146461404,10.910834632462,5.42944884435107,-10.8206073412442,-7.61109012880152,-12.1881046136172,17.0106422142993,24.2526264351382,8.64354028942048,10.8031277598936,-1.97676766809974,-12.7304204269087,-4.29248737832593,28.9514168854875,6.09959157446933,16.501130175201,16.2103874787502,1.8064156165158,-18.314579735949,-18.6861173437799,25.8412807455704,15.1438822112518,9.48508307960885,19.3594861938025,-10.7121685137637,-0.485461913387726
"382",2021-05-23,-4.32397954480933,-20.1260669249923,-4.5957102205626,3.21357303631163,-12.6105760004386,-4.19583226194413,-2.67001366091971,-8.13450966312747,17.4473545426757,35.6171810080518,2.69888288192553,-19.5387284360541,-11.2434838100132,-2.97225009273695,8.95010404667236,34.7969063345931,11.1763183396835,5.8519799579764,-9.53871777363574,-9.10351028812669,-12.9357511158364,18.9955910356903,25.5495977108297,9.03589668923957,11.2524768604372,-0.159239585925586,-12.594774717878,-4.29248737832593,29.3531524847964,5.29392974785445,16.5017024158091,16.9954520585419,4.52268123182642,-17.8547111757208,-18.5299434652513,25.9317250212609,14.7859057141494,10.180733220413,19.3745253387089,-10.981014485501,0.0247748168344239,21.399878275762
"383",2021-05-24,-18.7590380697479,-3.97628474057744,2.16056680735288,-12.5737097181987,-2.37649773409685,-2.63641276103592,-7.73972866416773,17.4496588836375,35.8910713774034,2.29633516198877,-19.6262867230818,-11.0239983645641,-3.94070675366832,6.36008509531419,33.7744085793771,10.9459863446032,5.64709157193399,-9.98269880229576,-9.49224005494528,-12.9631934499766,18.4232035990472,25.4433210988331,8.88203234553674,10.997337182926,-1.75533968918676,-13.0058114089758,-4.75087918416182,29.6372177698818,6.01421365160489,16.501130175201,16.4179611935049,3.03034536103934,-18.3257597651589,-18.6684221943885,25.8466606384277,15.2635244508836,9.76250350711295,19.364643007829,-11.0273426823776,-0.592678356894302,21.2140931190421,32.2293342914141
"384",2021-05-25,0.528900336298919,5.2227877326204,-9.7664196222139,-4.25256487176661,-3.01953194463399,3.70586566440958,22.0742159026399,36.7864408722313,3.77987615619285,-19.0537012137328,-12.061220186215,-3.078883898812,13.6649743599272,38.086842807756,12.1714809665116,6.66386509347555,-9.18610859923352,-9.04541766519313,-11.9587801283305,21.1096404824149,25.9528580027603,10.1690075979587,11.885021423434,0.243879416131054,-12.2265895505437,-4.75087918416182,30.0303583456166,6.45844104048804,17.6864693708215,16.1751437820375,3.66244634205665,-17.5295499862761,-18.5996011267891,25.4001295312665,15.0764425484725,10.1441033741024,19.3462425577798,-11.8736454728479,-0.435597925887184,20.5728576180265,31.1228455000142,13.0383029955655
"385",2021-05-26,5.12304500170584,-9.96612658058188,-6.48176189446101,-3.02541813304441,3.637682305593,22.1245200689287,36.5779821771397,3.61881906347455,-19.3246469714792,-12.040164869621,-3.85000362734939,13.5753386161793,37.4554352454261,12.1714809665116,6.77959161683099,-9.16483658442062,-9.33751605594706,-12.3859412821405,20.3676839570236,25.6073508846836,9.67319208578663,12.221235803944,-1.29250941793311,-12.6761242869621,-5.45341581916481,29.2175892935584,6.83751688437873,17.1307299564779,16.0878421947359,5.23772194503061,-17.3287669243471,-17.8549599464158,24.9387002592694,14.1265933915242,9.65268151257884,20.1053021424218,-12.328073693976,-0.85900141303604,19.9565348931021,31.0458129662371,13.6078706094013,23.3631706759766
"386",2021-05-27,-10.0744971533534,-0.504998455839046,-2.22371100055554,2.77181495066964,21.5816227128744,36.7003352531591,3.64641862483341,-19.3482673698849,-11.8919903236708,-2.69815479702129,13.5610302633372,37.1009579216057,11.6280004521034,6.52565414938132,-9.37186040932327,-8.74756220657436,-11.7860799559589,21.0964121285962,25.6095542698667,9.59544328998428,12.3492214410564,-1.45814490316048,-12.6667294527821,-4.67537743883915,30.0303583456166,6.9682631123716,16.5031902413902,16.4004142485882,5.28375301021336,-17.7580640710797,-17.4086383998201,25.8654074958461,14.3834737425771,9.03029106439579,20.0769771693779,-11.8858241876687,-0.876346897234309,20.9947506422369,32.3592424858415,13.2819206161111,22.5954768395266,21.5375480473731
"387",2021-05-28,9.54345894776655,4.26603917416914,3.48279316396394,20.8421257713328,38.521787873578,3.61458872963794,-18.5548424071065,8.44930217717408,9.36862219581938,11.6216997696109,36.3589699254092,13.6750844182813,6.66386509347555,-0.971635263070483,14.7084795561368,3.43969306596066,16.6094198881105,24.1744650180775,11.9620453151429,13.1224322103533,4.33861652922348,12.040090550505,11.1025968779877,24.9477270286891,4.88768913376365,18.7366898424113,16.5985892099967,13.4757857232072,8.36591008439121,-0.700731874545749,19.760139546144,13.2154611146884,11.6327559153305,19.6429234447518,0.675386966513589,21.7064433198255,32.606473323284,26.5437549834384,11.5856762369189,24.6900069257352,21.8928142229398,26.9903312633997
"388",2021-05-29,-0.582139898294387,2.66544648394054,20.655910836113,37.2837330582538,3.32069767853743,-19.1284448710421,-9.86666500913027,-3.55693775057798,13.1584784103155,37.1250273014276,11.9031080774702,6.31248316362264,-5.05525310498828,-4.53244768572593,-11.0816458282625,21.3618046074992,24.8279596849061,9.59544328998428,12.5676564545907,-0.519034665430966,-11.6262804212579,-5.13911796443006,30.0303583456166,6.49726485373984,16.501130175201,15.3829650038103,5.63674092772638,-16.9004718412847,-18.4614641607907,25.9703412714342,14.1867219360378,9.02576039404361,19.8377244386105,-12.4964633127644,-0.828615950915151,20.2829345449141,32.467499314531,13.8115957521818,22.4624088451027,20.5473776913409,14.8767291594194,1.64732522796353
"389",2021-05-30,2.63654874077647,21.2739461671017,37.5987850654747,4.04118828656904,-19.124106532756,-8.19690427451013,-2.38023929555505,12.4978323609924,36.7184345857794,12.1714809665116,6.25166208717201,-4.97122926163101,1.08082788876001,-9.58564352665541,20.1600769596554,24.4915566279785,10.049586025869,12.7903331236412,-0.787176164691548,-9.01980948107275,-4.41026870328025,29.0556895053835,6.36524665553898,17.2229878589618,15.5658498935069,6.09500003286857,-7.62538987296059,-15.6165116724648,25.4598515149571,13.7632639783215,9.67297600615173,20.1862313065492,-13.2437436724575,0.567559099557837,21.0936073544086,31.7105209249262,13.5183129729496,23.1636528205101,20.6049473886998,15.3514569717783,7.23152988855116,-12.2010994068264
"390",2021-05-31,19.5705057793274,37.2837330582538,3.35135422339705,-19.2573876991578,-10.1924676020697,-2.75811670757128,13.0196140363916,36.9322957687751,11.9339460806443,6.19931576962448,-4.99800690202448,-1.85720321195105,-9.63603349077242,19.4262137617246,24.5845802861332,9.59544328998428,12.8299014173687,-2.38743960938102,-10.8877356556809,-4.51701829373976,28.6761320929688,6.60635681472399,16.9143912154708,15.8726055324332,5.49529650738556,-15.5612863592994,-16.5928840955839,24.6483929639278,13.7374570723331,9.0253863019962,20.3383495069773,-14.8998467916713,-0.473912781855039,20.7929767945479,31.8326888348918,13.865461116633,23.0293537810795,20.854241776522,14.8767291594194,3.32681458966564,-12.3804800695522,41.2836200395738
"391",2021-06-01,35.8303533052523,2.59180359443698,-20.0308993886249,-8.92402635851224,-1.83102437715673,-3.59708080958219,28.242954577043,10.8798511670088,3.96988308819567,-6.81264879030026,-7.61109012880152,-11.0712328480745,9.98921498375857,21.3361458321092,8.22413461955477,10.0862521182664,-2.80366934688028,-12.1005556571213,-4.43890159287483,26.683462998936,6.22075494304034,15.4838389714929,14.7668093088692,5.38083718443432,-18.0693718513054,-16.7243705356365,24.5848429795502,14.370416577234,9.02351584175906,19.9809385401528,-14.8535667129885,-1.21582102373527,20.9431859196195,31.9690924390405,13.8754631409199,23.1357196122297,20.8986303631877,14.9970394274253,3.02841641337387,-11.3824423484897,41.7096712599821,44.7938743824375
"392",2021-06-02,-5.17555977666493,-18.4160556589766,2.55757867082154,-0.808419830787571,-11.5117888595742,21.8706772739607,-0.459911599061822,-6.73233123215344,-5.21318766493809,2.74311403160967,-10.9415496824091,-6.08638677486013,10.456319439276,1.17414174457724,4.71808700653188,-2.9231490936759,-3.65686649271219,-4.64683423814289,6.00650768394783,-3.3667410153769,12.2611372328352,12.1757820896106,3.52325889697455,-15.862638854801,-18.9324916195456,10.3017912974025,9.97039779637977,6.82167239928092,17.2403637897895,-13.9525294772054,-0.517930618063214,19.5993361782835,26.5126646307449,12.3239723332295,21.5581664337423,20.0095223242544,14.7154914427117,1.18553799392097,-14.5743242484819,40.0156619594852,45.0755113530102,26.5759173175077
"393",2021-06-03,-20.0308993886249,3.15820079948504,-1.20129599034168,-8.1799960982498,25.9335805905051,1.32932459355832,0.185658100317859,-6.42856220126599,-1.69620692111563,-9.98180839419601,0.0241923290156694,12.6075741610489,-0.171145104696517,7.58388027466256,-4.32211476577452,-8.80406300032684,-4.65163550618083,11.9833810021183,-0.713164973715352,13.9579021659307,13.2761299021045,4.75318167774336,-16.465750480337,-17.9212672735536,17.109524962358,9.97039779637977,7.35275840927749,17.8140921663307,-14.2906800833022,-0.873480363778959,19.5367667353135,28.9208165117664,14.1081139787245,21.5675365460951,20.1101764106892,14.8767291594194,1.28194934143871,-13.156901701356,40.9279872126224,44.9052078296094,26.6971546076868,36.1109885376283
"394",2021-06-04,10.0816198550761,2.15528431803321,-6.10472947865186,25.5010018796619,2.59533965609373,2.73266526588007,4.90039123775075,13.9478409651444,-0.396161134397634,-0.241605546704989,14.7112586127879,3.82394276025436,8.93357710899416,11.8145718380201,12.471192252932,11.301639839203,12.4878615425163,-2.64454915631448,14.7722863873497,13.727465463001,15.9650870031094,8.16941483838457,0.0608641883428905,12.810311185418,7.88225745868213,7.70135677643498,16.9105058365759,2.43843758300388,21.4198501476322,32.6475127916605,24.2334187411953,7.88382981433423,21.8041097419057,19.4455631289734,25.1770385392535,22.4900547112462,0.983226239638868,37.1879692948251,43.9186503523496,28.6505778865862,34.9233865702489,27.9574099142198
"395",2021-06-05,-0.399090561910623,-5.23113225075249,24.9678670470114,-3.70820467445542,-1.72741231614676,3.48787532064886,9.26675116339814,-7.90204830089731,-1.36193608754818,8.55813411467005,-0.222631136554668,5.54109112319175,12.3247492126694,7.91492850692772,-1.87257490537238,8.93360210068038,-10.0084319315401,12.361007524964,11.7553197725541,15.9074957873447,6.93094038592524,-14.3153956508727,5.09018045402158,5.26098679974244,7.5612315941517,16.5481646430078,1.21407976841676,19.9444849058287,28.7553077429354,15.5252819877656,5.43433842589329,21.3805062694731,18.5356169787261,24.8510461923336,22.7114164133739,3.27749945662323,32.274459189746,41.7941204747357,25.8566653716827,34.2389162302801,28.9452716925236,29.565826500212
"396",2021-06-06,-6.12760581174985,23.9324700566767,-0.9785097038388,-1.38823339259739,4.23610829165666,7.74404143475988,-8.81964987100747,-3.03717269685302,9.98884271028781,0.383491426222975,6.47083503238617,11.4824813572121,7.13633450964969,-2.11409546067014,8.69354177445019,-5.41235632891345,13.2243087810321,12.3104389341566,16.3154043491694,6.94873790806866,-15.0706262103561,9.70737521235057,7.03813445004889,7.67512183970156,16.9499695279171,1.42537638051099,20.4941164997375,23.4437697713424,21.2332454042061,8.19381296043997,21.5538799173163,19.6141899144092,24.8676698073407,21.9133860182371,-3.84090463814168,37.1471386308998,44.0657174056849,28.2128384261926,35.0489968736257,28.1508465807211,29.6530940410042,17.4616965117084
"397",2021-06-07,23.899911035954,0.345377610044713,-0.266095576746948,7.01982640362695,9.61085357379508,-7.97898091169324,1.93404960742249,10.5490248306821,-3.30706368530944,4.26631995743319,13.1410844996696,7.59046048075698,0.536697202824574,12.7073071529208,-10.9640467362886,11.9361760975098,11.7891500739264,16.6970700955161,7.30380972989303,-7.24888326585161,9.54005537151263,7.11242129927738,7.34114077291573,16.5542637475974,2.791009211747,20.9728908725342,32.7961189783656,21.5279624079344,8.17909707706619,22.221814826033,19.5917387568383,25.026127052972,22.4211246200608,1.98773346068247,36.9623049505972,43.5960936614373,28.701828829915,34.9454748121499,28.5097769619482,29.6550636687207,18.6280771687354,31.7480920062323
"398",2021-06-08,-15.8315526743992,-1.05308622021084,5.5915440972927,8.72042222380522,-7.25750249747265,-2.91828186254637,5.09885365213543,-17.936004906972,3.73628377699957,14.5134168003913,8.71597777371516,-1.1059654532341,8.94935720351807,-19.1554466584932,8.38685372576323,10.4146784688434,17.6898160017355,6.34939491329245,-11.7401101137082,3.09180373323179,-2.12030814015883,5.54485467563103,16.3954807557076,1.94715724127489,20.7875652828873,29.4197575423027,14.2161354675844,5.16875501807073,21.2469865966654,18.4078774757584,24.9201903648166,23.1398905775076,3.64446628155794,30.8792570881646,40.9951324426179,25.6743405629161,34.2787188419457,28.6642309900281,30.1789075449775,18.8378870428655,28.2491263281133,18.8932202708677
"399",2021-06-09,1.20338343839233,4.76590326092974,8.86680071450364,-7.1483155312188,-2.54417547035162,7.02333433872984,-3.67873170469777,5.70772466259714,13.0057580256236,8.95755427767344,-1.12755019316892,10.7874622961061,-13.670906020276,11.3143174600147,11.814682376849,15.191689510324,7.2114310776251,-9.3016842193048,5.58401840751033,4.38063425627817,6.95102857993967,16.742768740331,0.675386966513589,20.7535808325086,33.0316076091803,18.8246806659922,7.32544505880666,21.6748942984018,19.5638903923601,23.7254920101548,22.6426443768997,3.95978552689178,35.3089571261916,42.1495444781337,26.1123688828754,34.2543417278659,27.8207332544278,29.3901680149347,18.1950547265979,31.8503182190298,21.1137289180029,27.735465520575
"400",2021-06-10,5.83098037044556,9.5855123947207,-7.0822687653899,-2.69881974742683,5.89292919005519,-3.57371506931923,5.03951706600386,14.4538113667373,9.17900690831936,1.06629384039941,8.66847580280416,-18.2554805503446,11.0820751987741,11.2202258827208,17.1926528333804,7.58416971763589,-8.06794303982873,2.91296885248955,-0.633730861415171,5.97790432249505,16.1006516337724,2.62792702972165,20.9872702260235,32.5766968854164,15.8965146658851,6.53887313179927,21.3805062694731,18.7377813657227,24.8990629787801,22.8981276595745,3.27401087569886,33.8972055003771,41.7365434865898,26.1812263051429,33.9637937943797,28.2338107826531,29.3624684042711,17.7220582690132,30.5163246802405,20.9524374070651,27.8202549307607,23.0408725957297
"401",2021-06-11,7.62822692614241,-8.51542982661791,-4.41047633030419,1.58699225844696,-12.2444853358777,4.89040340807801,9.6177620645368,7.44965222955343,-1.60019554509417,7.43172300694044,-22.8453645302491,5.25328005137448,9.28424878363328,12.4456846852177,5.69111653613215,-15.1675259568444,-0.38695913971374,-7.42872218644916,2.8369010630449,14.1014861000422,-0.606898737506902,20.6190965284132,22.7517674783975,10.0831261168417,-3.87935250113156,18.6002044066097,16.8325810880647,22.1471552598272,22.6001458966565,-11.0212881243858,25.517849047929,39.5490197203875,25.2073230225818,32.7368382345216,25.5267652749527,29.9897572016234,7.05372877051768,23.9760682857839,17.9856227143029,24.7621090980634,21.8400505852597,13.5252298419738
"402",2021-06-12,-8.49357227439498,-3.73203379913792,3.93389452737878,-15.9433839519711,4.9162221807847,8.55061799375855,0.559341188984379,-3.04604464969612,10.1363034402871,-21.4384629019631,5.20575864798619,9.25906168786761,11.6713833067098,-6.10958703842742,-15.9417329476028,3.63540052267728,-6.56393837494932,2.06755998462066,13.7807103901989,-2.93918116949024,9.03679081049342,21.7617407273731,14.5205971616856,-3.95241636927846,18.170822107797,16.0156136761859,21.0781665174045,11.9798176291793,-12.2732026984141,29.8578862477683,37.7963510897656,24.2594701282927,31.8913438606445,25.0782653068456,20.6155866755511,6.30157472033901,24.7275698864153,15.2328648072981,24.2778426996021,20.3624492676901,12.3595100804675,14.3895744563227
"403",2021-06-13,-1.92250127645214,4.96055450881157,-9.97097844112768,5.02841089552209,8.78939871109471,-0.033170458763365,-1.39649109074745,9.82481477504564,-21.7154857038755,6.01615625983538,9.32938624772848,11.9159966956129,-5.82416832346033,-15.0735041462862,3.96106337030974,-6.54588788724332,2.57386239647523,13.7271576578688,-3.00482882112992,9.03679081049342,22.5319924205431,13.9316138304008,-4.27993575353133,18.7686302572559,16.1492931646591,20.7997986810649,11.8915683890578,-11.6323956640064,29.5737272240949,38.6434933339838,24.6909202647126,32.2691453526389,24.4618241351694,22.5326695706285,6.6505577829251,25.4664043450322,18.0185267049793,24.5616292796109,21.3266278454209,12.091034209927,16.294029660906,6.70112145960214
"404",2021-06-14,4.68582665136375,-8.6143070450983,5.02327787761493,9.48932920288674,-0.310929770036609,-1.20480378398626,10.9870952627315,-20.0611653544858,9.99821174809969,9.91197217500049,12.4322304831899,-5.94231017791713,-15.0456339561076,5.98854496659294,-2.74434114974601,4.05583323807842,14.5551107152345,-2.31258444742992,9.5244542381744,22.5918239527823,16.2413559995084,2.31348698201568,20.2287883860203,17.1609162714321,21.506308486728,11.9798176291793,-11.4865563994477,31.2650335475305,40.7537742522884,25.1498929963696,33.2916796119273,25.4431584890773,22.1555033013751,6.67720926414722,28.6557996848619,19.7661890983135,24.6451395696729,22.1833245103229,13.3537563434058,16.0624999740211,6.55764591630638,25.4325569268208
"405",2021-06-15,-16.5931860002602,4.7825519739408,8.53017314122752,1.1815515926437,-0.981499393376911,10.9079195259803,-25.8261815782606,3.99938961001803,8.94276725872951,10.947535185806,-5.66696050852551,-14.3688730050402,5.57398283814178,-10.9333637404307,-2.40042397098709,13.4052318222306,-3.72714546194107,9.2584517606927,22.6784781639456,13.8732165987501,-12.4505016364881,13.3086902921031,15.3203463997725,19.9129147577141,11.2517933130699,-11.4500200513682,26.8151437613195,29.5518644899576,21.1648575964205,31.2766128293912,23.693948134971,19.7964473276025,6.48677558118955,20.3911277189461,5.33966463047059,21.3056820070624,19.4080421739898,11.0398115719678,9.6679296597837,5.89591931965128,13.7001870199767,25.4072048657808
"406",2021-06-16,6.91300712885003,9.2935048441214,-0.290380012963476,-1.21203713539716,10.9079195259803,-21.0532097963042,10.7793249468293,9.62563912174089,12.183952248539,-5.45446491978407,-14.7998350036182,5.95214792222331,-6.97719914860127,4.20159404777987,14.9883893550857,-2.05349203355185,9.86871837009096,22.7608861807605,15.8869590704095,-3.97624533447361,20.1604727685169,16.3387060769798,21.5100647131822,13.785820668693,-11.1285055455044,30.0769885210083,37.8501398349531,24.8594384235133,32.2719720472423,25.615106392529,25.7309007605002,9.63280466439399,24.4507530743567,16.1003245187477,24.633462121649,21.0711178754191,13.9823581429134,18.1985731939531,13.5173074638276,18.5273142515016,32.3253839636344,26.8068952785342
"407",2021-06-17,7.97475965320267,-0.31312497576269,-1.57015442331667,9.42445392397074,-22.1541000113246,8.50502618000783,8.14686773355218,10.947535185806,-6.2737173221954,-15.2699559323483,5.57398283814178,-10.7970907562424,1.92457369093761,12.6615911115278,-3.37584254957136,9.44679950450367,22.5836500286618,14.520218971891,-10.961627253725,17.6133314203425,14.7822983845074,20.7716177308692,11.578905775076,-11.2704837736981,27.5681236156138,32.1714488450881,22.9212926060882,30.3430406528714,24.2588006832179,20.2641100054518,6.76412156563985,21.9268316300033,7.80249065627135,23.2025719218858,18.754198282454,11.4338382570739,10.6811558600428,6.01801773879445,15.8697442880043,26.3786855353525,26.2555383763327,16.746716475979
"408",2021-06-18,-2.48581772452036,-1.93872920382349,9.69454233085716,-22.1565803532302,7.81861403324719,7.93843914258359,3.41134688833231,-7.91432791299183,-15.8461514303645,5.57398283814178,-6.64437558131215,2.82893601986844,12.6489428531246,-12.2788150991042,7.10738451387204,21.8943069149275,14.2336015329293,-4.22322539411047,18.7091563179178,15.6629329614918,13.7488990370738,8.33500911854105,-12.8241739907733,29.9899534652891,39.2551331409556,24.8966887483757,31.9496425607152,17.7087181159061,13.7999533750755,4.96675618896645,26.1711780706156,18.2139764095969,24.543947740664,21.7617081348156,3.13913189463588,-0.428216392682167,4.0501686580194,24.8602082005524,34.717642153962,27.02421061654,19.8502427655145,3.27477247845963
"409",2021-06-19,-1.84619355656318,8.56662729517878,-22.8193917192278,6.91228505212158,7.21881900072299,4.25038291886064,-6.09690391371215,-15.6457581520405,3.54469759829168,-8.95388405952636,1.75183149231552,12.5831184660822,-12.494928342386,9.1941503213049,22.2544850427804,13.3841888301644,-6.18806307586982,17.5812415900732,14.8632656618382,13.7246815534124,10.7267112462006,-12.0148104609978,28.0547467660954,35.9571340220091,23.6936988983706,31.0466674771525,16.7223789308065,19.1350039374198,6.14043458074578,24.6332998829236,16.220712936543,23.8736817289068,20.2368051879301,3.27021371023372,7.44998011050826,5.51724805901223,20.7156121443884,32.1941487573296,26.7604674213803,18.8900155135762,1.66532953364701,-4.38107124597758
